name,sub_title,color,price,currency,description,avg_rating,review_count,parsed_sizes,dominant_color
nike air force 1 lv8 utility,big kids' shoes,White/Black/Tour Yellow/White,76.97,USD,"legendary sneaker for a legendary stride.with a nod to the 1982 classic, the nike air force 1 lv8 utility keeps you looking fresh off the court in premium leather.benefitsreal and synthetic leather elevates the look of the '82 classic.encapsulated air-sole unit cushions your step.rubber outsole with pivot point is the same as the original.perforations help enhance ventilation.shown: white/black/tour yellow/whitestyle: ar1708-100",4.77391304347826,0.0,"['W 5.5 / 4Y', 'W 6 / 4.5Y', 'W 6.5 / 5Y']",White
chelsea fc strike,men's nike dri-fit soccer track jacket,Rush Blue/College Navy/White,90.0,USD,"elevate your training.the chelsea fc strike track jacket has design details specifically tailored for soccer’s rising stars. a slim, streamlined fit ensures that nothing comes between you and the ball, and sweat-wicking fabric helps keep you cool and composed while fine-tuning your skills.benefitsnike dri-fit technology moves sweat away from your skin for quicker evaporation, helping you stay dry and comfortable.side pockets let you store your essentials.product detailsslim fit for a tailored feel100% polyestermachine washimportedshown: rush blue/college navy/whitestyle: dj8533-495",4.77391304347826,0.0,"['S', 'M', 'L', 'XL', '2XL', '3XL']",Rush Blue
mlb boston red sox,women's replica baseball jersey,Midnight Navy,115.0,USD,loyalty to your team.the mlb boston red sox jersey helps deliver a comfortable fit with its polyester material. it features team details to add authenticity to your look on game day.product details100% polyestermachine washimportedshown: midnight navystyle: t773bqnbbq-xvb,4.77391304347826,0.0,[],Midnight Navy
mlb arizona diamondbacks city connect,men's replica baseball jersey,Team Gold,135.0,USD,loyalty to your city.the mlb arizona diamondbacks city connect jersey helps deliver a comfortable fit with its polyester material. it features an authentic design dedicated to the valley of the sun to help give you an exclusive look on game day.product details100% polyestermachine washimportedshown: team goldstyle: t770dkc2dks-kmj,4.77391304347826,0.0,[],Team Gold
nike college max 90 (gonzaga),men's long-sleeve t-shirt,White,26.97,USD,"show your team loyalty in this long-sleeve gonzaga tee. it has proud bulldogs graphics on soft cotton fabric that helps keep you comfortable—on game day and any other day.benefitsdropped shoulders, longer sleeves and a roomy fit through the body and hips give the max 90 silhouette a relaxed and casual look.everyday cotton fabric feels soft and lightweight.product detailsribbed collar and cuffs100% cottonmachine washimportedshown: whitestyle: dq0753-100",4.77391304347826,0.0,[],White
nike dri-fit,toddler t-shirt and shorts set,Multi-Color,36.0,USD,"fun, easy, dry.the nike dri-fit set includes a sweat-wicking t-shirt and matching knit shorts for a sporty ensemble that's ready for play.benefitsdri-fit technology helps keep little ones dry and comfortable.knit fabric is soft and comfortable.product details100% polyestermachine washimportedshown: multi-colorstyle: 76g104-gae",5.0,1.0,[],Multi-Color
nike therma crucial catch (nfl atlanta falcons),men's pullover hoodie,Black,85.0,USD,"warm, breathable fleece.the nike therma crucial catch (nfl atlanta falcons) hoodie is built with sweat-wicking fleece to help manage your body’s natural heat and keep you warm. the chest is designed with the crucial catch pattern and logo to help strengthen the support of a great cause.benefitsnike therma fabric helps keep you warm.the hood and adjustable drawstring help provide extra coverage.product detailsfront pocket100% polyestermachine washimportedshown: blackstyle: ns5700azu2-8up",4.77391304347826,0.0,"['S', 'M', 'L', 'XL', '2XL']",Black
zion 2,men's basketball shoes,Flax/Sesame/Fauna Brown/Muslin,119.97,USD,"channel your skills in footwear designed for zion williamson and built for ballers at any level. an adjustable strap up top helps lock your foot in while an air-sole unit and firm midsole support high-paced play. make it your number 1 pick for the court.benefitsnike air-sole unit provides lightweight cushioning.zoom air cushioning under the forefoot provides springy, responsive support.textile and synthetic leather in the upper provide structure and durability.foam midsole adds responsive cushioning.padded collar wraps your ankle with a soft touch.rubber tread gives you durable traction.product detailszion williamson's name displayed on the tongue and outsoleadjustable strap over laces for a secure fitjumpman logo on sideplastic shank at midsole for stabilizationshown: flax/sesame/fauna brown/muslinstyle: dv3462-212",4.7,3.0,['8'],Flax
jordan,little kids' hoodie,Atmosphere,33.97,USD,"super cozy and roomy.snuggle up with the jordan fleece hoodie. this pullover is made with all the coziness of supersoft fabric to keep kiddos comfy on their next adventure.benefitslightweight fleece feels super soft and fuzzy on the inside.ribbed cuffs stretch to hold in warmth.hood for added coverage.front pocket for easy stashing.product detailsloose fit for a roomy feel57% cotton, 38% polyester, 5% elastanemachine washimportedshown: atmospherestyle: 35b324-x24",4.77391304347826,0.0,"['4', '5', '6', '6X']",Atmosphere
nike dri-fit sideline velocity lockup (nfl buffalo bills),women's t-shirt,Royal,40.0,USD,"exceptional comfort.the nike dri-fit sideline velocity lockup (nfl buffalo bills) t-shirt combines sweat-wicking technology with a bold team design to help give you a reliable look and feel while on the move.benefitsnike dri-fit technology helps you stay dry, comfortable and focused.jersey fabric has a soft, lightweight feel.product details100% polyestermachine washimportedshown: royalstyle: ns184da81-63s",4.77391304347826,0.0,['XS (0–2)'],Royal
jordan,little kids' t-shirt and shorts set,Light Smoke Grey,34.97,USD,"comfort meets its match.the jordan t-shirt and shorts set includes a soft t-shirt and matching shorts for an easy everyday outfit.benefitsthe t-shirt is made with soft, knit fabric.shorts have a stretch waistband for a comfortable fit.product detailsstandard fit for a relaxed, easy feel.t-shirt: 60% cotton, 40% polyester. shorts: 100% polyestermachine washimportedshown: light smoke greystyle: 85b316-g6u",4.77391304347826,0.0,"['4', '6', '7']",Light Smoke Grey
nike air max 90 se,men's shoes,Black/Scream Green/Summit White/Obsidian,119.97,USD,"comfort and heritage.max air changed the game in ’87. now, we honor its emerald anniversary (35 years!) with the nike air max 90 se. emerald graphics and colors highlight this big landmark, while its classic waffle outsole and exposed air cushioning keep you living the legacy in comfort.benefitsoriginally designed for performance running, the max air unit in the heel adds unbelievable cushioning.padded, low-top collar looks sleek and feels comfortable.rubber waffle outsole adds a heritage look, traction and durability.stitched overlays and plastic accents on the heel and eyestays add durability, comfort and an iconic look.product detailsfoam midsole for a soft feelshown: black/scream green/summit white/obsidianstyle: dn4155-001nike air max originsrevolutionary air technology first made its way into nike footwear in 1978. in 1987, the air max 1 debuted with visible air technology in its heel, allowing fans more than just the feel of air cushioning—suddenly they could see it. since then, next-generation air max shoes have become a hit with athletes and collectors by offering striking color combinations and reliable, lightweight cushioning.",4.8,31.0,"['6', '6.5', '7', '7.5', '8', '8.5', '9', '10']",Black
nike dri-fit athletic arch jersey (nfl pittsburgh steelers),men's pullover hoodie,Black/Gold,100.0,USD,"comfortably display your team pride.the nike dri-fit athletic arch jersey (nfl pittsburgh steelers) hoodie has sweat-wicking fabric with team graphics across the chest and down the sleeve to provide a bold, warm layer that helps keep you dry during football season.benefitsnike dri-fit technology helps you stay dry, comfortable and focused.fleece lining helps retain warmth.product detailshood with adjustable drawstringfront pocket85% recycled polyester/15% elastanemachine washimportedshown: black/goldstyle: ns53057y7l-5uc",4.77391304347826,0.0,[],Black
sylvia fowles lynx explorer edition,nike dri-fit wnba victory jersey,Court Blue/College Navy,100.0,USD,"merciless cold.the embodiment of toughness and persistence in the face of merciless cold, the minnesota lynx’s nike explorer edition jersey shows the state’s true spots—fierce dappled details nod to the stealthy nimbleness of wild cats, while an icy blue background stands strong for the midwest’s frigid winters. this product is made with 100% recycled polyester fibers.fly fabricdouble-knit mesh fabric feels soft and lightweight. dri-fit technology helps keep you dry and comfortable.explorer jerseythe wnba explorer edition jersey is part of the wnba's new lineup of uniforms. it reps the team's home and bold primary colors.product detailsloose fit for a roomy feelribbed neckline and armholessewn-on jock tagheat-applied graphics100% polyestermachine washimportedshown: court blue/college navystyle: dc9573-476",4.77391304347826,0.0,"['XS (0–2)', 'S (4–6)', 'M (8–10)', 'L (12–14)', 'XL (16–18)', '2XL (20–22)']",Court Blue
nike air,big kids' (boys') pullover hoodie,Black/Black/Light Bone,34.97,USD,"big air + cozy comfort.grab the hoodie that feels sporty and layers easily with almost anything. supersoft fleece combines with mesh lining for a warm and breathable design from playtime to schooltime.benefitssupersoft fleece has a fuzzy feel against your body for extra warmth.mesh lining in the hood and pockets brings extra breathability.side pockets hold small items or keep your hands warm.product detailsstandard fit for a relaxed, easy feelside pocketsribbed cuffs and hemreflective detailsbody: 80% cotton/20% polyester. rib: 98% cotton/2% spandex. pocket bags/hood lining: 100% cotton.machine washimportednot intended for use as personal protective equipment (ppe)shown: black/black/light bonestyle: dm8109-010",4.77391304347826,0.0,"['XS', 'XL']",Black
paris-saint germain 2021/22 stadium third,big kids' nike dri-fit soccer jersey,Black/Dark Grey/White/Siren Red,75.0,USD,"your team. your colors.like other jerseys from our stadium collection, the paris saint-germain jersey pairs replica design details with sweat-wicking fabric to give you a game-ready look inspired by your favorite team. this product is made with at least 75% recycled polyester fibers.stay drybreathable fabric with nike dri-fit technology moves sweat away from your skin for quicker evaporation, helping you stay dry and comfortable.elite inspirationreplica design is modeled after what the pros wear on the field.product detailsstandard fit for a relaxed, easy feel100% polyestermachine washimportedshown: black/dark grey/white/siren redstyle: db6245-011",4.77391304347826,0.0,[],Black
nike dri-fit city connect striped (mlb san francisco giants),men's polo,White,65.0,USD,"built for comfort.performance meets comfort in the nike dri-fit city connect striped (mlb san francisco giants) polo. it's designed with a stripe pattern and a woven team label that helps you comfortably support your favorite mlb squad.benefitsnike dri-fit technology helps you stay dry, comfortable and focused.nike breathe fabric helps you stay dry and cool.product details100% polyestermachine washimportedshown: whitestyle: nace824wgia-1m5",4.77391304347826,0.0,"['S', 'M', 'L', 'XL', '2XL']",White
nike team (nfl buffalo bills),men's tank top,Charcoal Heather/Red,35.0,USD,summertime classic.the nike team (nfl buffalo bills) tank top sets you up with soft tri-blend fabric and bold team details for warm-weather comfort and a spirited look.product details50% polyester/25% cotton/25% rayonmachine washimportedshown: charcoal heather/redstyle: nkzbea1681-0zp,4.77391304347826,0.0,"['XL', '2XL']",Charcoal Heather
nike pro,men's tights,White/Black,24.97,USD,"layer in supportive stretch.the nike pro tights give you a high-stretch layer of support so you can focus on your workout.supportivetight fabric feels snug and compressive for support and comfort as you move.sweat wickingnike dri-fit technology moves sweat from your skin for quicker evaporation—helping you stay dry, comfortable and focused.breathablethe back of the waistband is made to be breathable to help keep you cool when you layer the tights under shorts.product detailstight fit for a body-hugging feelbody: 90-93% polyester/7-10% spandex. mesh: 92% polyester/8% spandex.material percentages may vary depending on color. check label for actual content.machine washimportedshown: white/blackstyle: bv5641-100",4.3,152.0,[],White
nike sfb gen 2 8”,tactical boot,Black/Black/Black,140.0,USD,"second generation protection.made with durable nylon canvas and synthetic leather, the nike sfb gen 2 8” is a lightweight tactical boot designed for speed and flexibility over rough terrain. inspired by nike free technology, the flexible sole is equipped with an aggressive traction pattern for multi-surface grip and an internal rock shield to help prevent punctures.benefitspolishable synthetic leather and nylon canvas provide durability and breathability.dual-zone lacing integrates with a durable webbing system for enhanced stability and a locked-in fit.metal screen vents on the medial side help keep your foot cool.reinforced stitch and rubber at the toe add durability.foam midsole gives you lightweight cushioning.internal rock shield helps prevent punctures and reduce pressure.rubber outsole with reinforced heel strike zone offers durable traction on a variety of surfaces.shallow flex grooves are anatomically placed to let your foot move naturally while preventing debris from sticking.sawtooth design at the arch provides additional grip.product detailsoutsole inspired by nike free technologyremovable sockliner8"" collarheel pull tabweight: 16.4 ounces (men’s size 10.5)shown: black/black/blackstyle: 922474-001sfb originsthe sfb collection honors nike co-founder bill bowerman and his wwii service. upon his return, he became the head track and field coach at his alma mater, the university of oregon, where he began creating high-performance footwear for his athletes. just like bowerman, everything in the sfb collection is field-proven and dedicated to athletes.",3.8,28.0,"['M 6 / W 7.5', 'M 6.5 / W 8', 'M 7 / W 8.5', 'M 7.5 / W 9', 'M 8 / W 9.5', 'M 8.5 / W 10', 'M 9 / W 10.5', 'M 9.5 / W 11', 'M 10 / W 11.5', 'M 10.5 / W 12', 'M 11 / W 12.5', 'M 11.5 / W 13', 'M 12 / W 13.5', 'M 12.5 / W 14', 'M 13 / W 14.5', 'M 14 / W 15.5', 'M 15 / W 16.5']",Black
